Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Molecule name,oral,parenteral,topic,first_aproval,indication_class,ROMol,ROMol_H,ECFP6,MACCS,Fp2D,Fp3D
CHEMBL3740168,,None,311.77,0.0,4.08,4,Cc1cc(COc2cccc(Cl)c2)nc(-c2ccccn2)n1,IC50,'=',398.11,nM,6.4,,,UO_0000065,,,,,0.0,CHEMBL3744105,Antagonist activity against human GPR40 expressed in HEK293s FLPIN cells assessed as elaidic acid stimulated IP1 release after 2 hrs by TR-FRET analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3739339,1.0,Scientific Literature,Medchemcomm,2015.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0ba0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c85f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3941880,,None,356.38,0.0,3.72,34,O=S1(=O)c2ccccc2CN1c1cc(F)cc(Oc2ccccn2)c1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0ac0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3910333,,None,372.83,0.0,4.24,38,O=S1(=O)c2ccccc2CN1c1cc(Cl)cc(Oc2ccccn2)c1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0.0,CHEMBL3860597,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG770-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0c80>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c86d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777862,,None,339.78,0.0,4.59,8,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C#N)cc2Cl)cc1,IC50,'=',23.0,nM,7.64,,,UO_0000065,22.48,0.43,3.05,10.86,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0e40>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL255074,,None,348.36,0.0,4.32,8,O=C(NCc1cccc(Oc2ccccc2)c1)c1ccc([N+](=O)[O-])cc1,IC50,'=',2800.0,nM,5.55,,,UO_0000065,,,,,0.0,CHEMBL943952,Antagonist activity at FFAR1 expressed in HEK-EM293 cells assessed as inhibition calcium influx by FLIPR assay,F,BAO_0000219,cell-based format,None,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140737,1.0,Scientific Literature,J Med Chem,2008.0,CHEMBL3307715,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a07b0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c87b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3741358,,None,311.77,0.0,4.08,5,Cc1cc(COc2ccc(Cl)cc2)nc(-c2ccccn2)n1,IC50,'=',251.19,nM,6.6,,,UO_0000065,,,,,0.0,CHEMBL3744105,Antagonist activity against human GPR40 expressed in HEK293s FLPIN cells assessed as elaidic acid stimulated IP1 release after 2 hrs by TR-FRET analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3739339,1.0,Scientific Literature,Medchemcomm,2015.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0510>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777855,,None,432.32,1.0,5.82,19,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F,IC50,'=',49.0,nM,7.31,,,UO_0000065,16.91,0.33,1.49,13.11,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0820>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777864,,None,355.39,1.0,5.09,10,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C#N)c3ccccc23)cc1,IC50,'=',13.0,nM,7.89,,,UO_0000065,22.19,0.4,2.8,11.21,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0890>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3950610,,None,394.43,0.0,4.39,32,N#CCc1cccc(Oc2cc(F)cc(N3Cc4ccccc4S3(=O)=O)c2)c1,IC50,'=',19952.62,nM,4.7,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0900>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777869,,None,331.37,0.0,4.61,15,CC#CC(CC(=O)O)c1ccc(Oc2nccc3ccccc23)cc1,IC50,'=',342.0,nM,6.47,,,UO_0000065,19.51,0.35,1.86,10.88,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0970>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c89e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
